"Totemnaam","Tak:","Tak:","Tak:"
"Guitige Bever","Stam","Stam","Stam"
"Merel","Bevers","Bevers","Willekeurig"
"Fret","Welpen","Wolven","Jongverkenners"
"Mondige Okapi","Stam","Stam","Stam"
"Leipe Lijster ","Bevers","Wolven","Welpen"
"Forel","Stam","Stam","Stam"
"Hazewind","Stam","Stam","Stam"
"Forel","Welpen","Stam","Stam"
"Steppelemming","EL","Wolven","Jongverkenners"
"Bufo","Seniors","Jongverkenners","Willekeurig"
"Neusbeer","EL","Seniors","Jongverkenners"
"Boxer","Wolven","Jongverkenners","Bevers"
"Schrijverken","Verkenners","Wolven","Jongverkenners"
"Coucal","Wolven","Jongverkenners","Welpen"
"Orka","Stam","Stam","Stam"
"Rayador","Jongverkenners","Jongverkenners","Verkenners"
"Berner Sennen","Jongverkenners","Verkenners","Seniors"
"Parkiet","Stam","Stam","Stam"
"Lama","Welpen","Bevers","Jongverkenners"
"Chimpansee ","Jongverkenners","Wolven","Jongverkenners"
"Dryas","Wolven","Bevers","Bevers"
"Labrador","Jongverkenners","Wolven","Willekeurig"
"Motacilla ","Jongverkenners","Wolven","Welpen"
"Barry","Bevers","Bevers","Welpen"
"Koala ","Wolven","Jongverkenners","Verkenners"
"Pekari","Bevers","Jongverkenners","Wolven"
"wielewaal","Welpen","Jongverkenners","Wolven"
"Meeuw","Jongverkenners","Bevers","Welpen"
"Eekhoorn de boss ","Bevers","Wolven","Jongverkenners"
"Argali ","Jongverkenners","Wolven","Welpen"
"Capra ","Welpen","Wolven","Bevers"
"Fanatieke Schildpad ","Jongverkenners","Wolven","Verkenners"
"Spitsvogel ","Jongverkenners","Wolven","Verkenners"
"Drongo ","Wolven","Jongverkenners","Stam"
"Baviaan","Stam","Stam","Stam"
"Strandloper","Welpen","Wolven","Jongverkenners"
"Groenling","Seniors","Verkenners","Jongverkenners"
"Blijgeestige Panda","Jongverkenners","Verkenners","Wolven"
"Distelvink ","Seniors","Verkenners","Jongverkenners"
"Beermarter","Jongverkenners","Jongverkenners","Willekeurig"
"Kyang","Seniors","Stam","Stam"
"Antilope","Jongverkenners","Jongverkenners","Wolven"
"Forel","Stam","Stam","Stam"
"Hinde","Jongverkenners","Verkenners","Wolven"
"Gibbon","Jongverkenners","Wolven","Seniors"
"kraanvogel","Seniors","Jongverkenners","Bevers"
"Mangoest","Jongverkenners","Wolven","Bevers"
"Nauwgezette Snoek","Seniors","Willekeurig","Willekeurig"
"Fanatieke schildpad","Verkenners","Wolven","Jongverkenners"
"Drongo","Seniors","Jongverkenners","Wolven"
"ZALM","Jongverkenners","Verkenners","Wolven"
"Jaguarundi","Jongverkenners","Wolven","Bevers"
"Vini","Bevers","Wolven","Jongverkenners"
"Jabiroe","Wolven","Welpen","Jongverkenners"
"Flamingo","Jongverkenners","Wolven","Stam"
"Slechtvalk","Verkenners","Jongverkenners","Seniors"
